"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 28 13:45:33 IST 2022","Thu Jul 28 13:45:33 IST 2022","28","","Safety Page","","Safety Page","should show the list of car models and verify the total","should show the list of car models and verify the total",""
"passed","Thu Jul 28 13:45:32 IST 2022","Thu Jul 28 13:45:32 IST 2022","53","","Safety Page","","Safety Page","should verify the volvo label and verify the url","should verify the volvo label and verify the url",""
"passed","Thu Jul 28 13:45:33 IST 2022","Thu Jul 28 13:45:33 IST 2022","18","","Safety Page","","Safety Page","should contain video testimonial and verify the count","should contain video testimonial and verify the count",""
"passed","Thu Jul 28 13:45:33 IST 2022","Thu Jul 28 13:45:39 IST 2022","5512","","Safety Page","","Safety Page","should have hybrid models and verify the names","should have hybrid models and verify the names",""
"passed","Thu Jul 28 13:45:33 IST 2022","Thu Jul 28 13:45:33 IST 2022","25","","Safety Page","","Safety Page","should have hybrid models and verify the length","should have hybrid models and verify the length",""
"passed","Thu Jul 28 13:45:32 IST 2022","Thu Jul 28 13:45:33 IST 2022","562","","Safety Page","","Safety Page","should verify our cars button is clickable","should verify our cars button is clickable",""
"passed","Thu Jul 28 13:45:33 IST 2022","Thu Jul 28 13:45:33 IST 2022","65","","Safety Page","","Safety Page","should verify the video testimonial names","should verify the video testimonial names",""
"passed","Thu Jul 28 13:45:33 IST 2022","Thu Jul 28 13:45:33 IST 2022","29","","Safety Page","","Safety Page","should contain link on the mild hybrid cars text and verify the href","should contain link on the mild hybrid cars text and verify the href",""
"passed","Thu Jul 28 13:45:30 IST 2022","Thu Jul 28 13:45:32 IST 2022","2390","","Safety Page","","Safety Page","should show the header container","should show the header container",""
"passed","Thu Jul 28 13:45:33 IST 2022","Thu Jul 28 13:45:33 IST 2022","131","","Safety Page","","Safety Page","should verify the safety features in the cars","should verify the safety features in the cars",""
"passed","Thu Jul 28 13:45:33 IST 2022","Thu Jul 28 13:45:33 IST 2022","29","","Safety Page","","Safety Page","should contain link on the recharge text and verify the href","should contain link on the recharge text and verify the href",""
"passed","Thu Jul 28 13:45:33 IST 2022","Thu Jul 28 13:45:33 IST 2022","66","","Safety Page","","Safety Page","should show the button on the video and it should be clickable","should show the button on the video and it should be clickable",""
"passed","Thu Jul 28 13:45:33 IST 2022","Thu Jul 28 13:45:33 IST 2022","62","","Safety Page","","Safety Page","should contain safety features and verify the count","should contain safety features and verify the count",""
"passed","Thu Jul 28 13:45:33 IST 2022","Thu Jul 28 13:45:33 IST 2022","35","","Safety Page","","Safety Page","should show the text on the button in the video","should show the text on the button in the video",""
"passed","Thu Jul 28 13:45:33 IST 2022","Thu Jul 28 13:45:33 IST 2022","59","","Safety Page","","Safety Page","should verify menu button is clickable","should verify menu button is clickable",""
